source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
wikipathways	WP1941	Peroxisomal beta-oxidation of tetracosanoyl-CoA	partOf	kegg.pathway	WP1941	None	manual	compath
wikipathways	WP368	Mitochondrial LC-Fatty Acid Beta-Oxidation	partOf	kegg.pathway	WP368	None	manual	compath
wikipathways	WP143	Fatty Acid Beta Oxidation	partOf	kegg.pathway	WP143	None	manual	compath
wikipathways	WP1941	Peroxisomal beta-oxidation of tetracosanoyl-CoA	partOf	kegg.pathway	WP1941	None	manual	compath
wikipathways	WP368	Mitochondrial LC-Fatty Acid Beta-Oxidation	partOf	kegg.pathway	WP368	None	manual	compath
wikipathways	WP143	Fatty Acid Beta Oxidation	partOf	kegg.pathway	WP143	None	manual	compath
wikipathways	WP357	Fatty Acid Biosynthesis	partOf	kegg.pathway	WP357	None	manual	compath
kegg.pathway	hsa04510	Focal adhesion - Homo sapiens (human)	skos:exactMatch	wikipathways	WP306	Focal Adhesion	manual	compath
kegg.pathway	hsa04727	GABAergic synapse - Homo sapiens (human)	partOf	wikipathways	WP4159	GABA receptor Signaling	manual	compath
kegg.pathway	hsa04971	Gastric acid secretion - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2597	Secretion of Hydrochloric Acid in Parietal Cells	manual	compath
wikipathways	WP2363	Gastric Cancer Network 2	partOf	kegg.pathway	WP2363	None	manual	compath
wikipathways	WP2361	Gastric Cancer Network 1	partOf	kegg.pathway	WP2361	None	manual	compath
kegg.pathway	hsa04922	Glucagon signaling pathway - Homo sapiens (human)	partOf	wikipathways	WP534	Glycolysis and Gluconeogenesis	manual	compath
kegg.pathway	hsa04922	Glucagon signaling pathway - Homo sapiens (human)	partOf	wikipathways	WP1541	Energy Metabolism	manual	compath
kegg.pathway	hsa04922	Glucagon signaling pathway - Homo sapiens (human)	partOf	wikipathways	WP500	Glycogen Synthesis and Degradation	manual	compath
kegg.pathway	hsa00480	Glutathione metabolism - Homo sapiens (human)	skos:exactMatch	wikipathways	WP100	Glutathione metabolism	manual	compath
wikipathways	WP2533	Glycerophospholipid Biosynthetic Pathway	partOf	kegg.pathway	WP2533	None	manual	compath
wikipathways	WP4153	Degradation pathway of sphingolipids, including diseases	partOf	kegg.pathway	WP4153	None	manual	compath
wikipathways	WP325	Triacylglyceride Synthesis	partOf	kegg.pathway	WP325	None	manual	compath
wikipathways	WP2533	Glycerophospholipid Biosynthetic Pathway	partOf	kegg.pathway	WP2533	None	manual	compath
wikipathways	WP325	Triacylglyceride Synthesis	partOf	kegg.pathway	WP325	None	manual	compath
kegg.pathway	hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	partOf	wikipathways	WP497	Urea cycle and metabolism of amino groups	manual	compath
kegg.pathway	hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP534	Glycolysis and Gluconeogenesis	manual	compath
kegg.pathway	hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	partOf	wikipathways	WP1423	Ganglio Sphingolipid Metabolism	manual	compath
kegg.pathway	hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	partOf	wikipathways	WP1424	Globo Sphingolipid Metabolism	manual	compath
kegg.pathway	hsa05332	Graft-versus-host disease - Homo sapiens (human)	partOf	wikipathways	WP2328	Allograft Rejection	manual	compath
kegg.pathway	hsa04340	Hedgehog signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP47	Hedgehog Signaling Pathway Netpath	manual	compath
kegg.pathway	hsa05225	Hepatocellular carcinoma - Homo sapiens (human)	partOf	wikipathways	WP3646	Hepatitis C and Hepatocellular Carcinoma	manual	compath
kegg.pathway	hsa00340	Histidine metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa03440	Homologous recombination - Homo sapiens (human)	skos:exactMatch	wikipathways	WP186	Homologous recombination	manual	compath
wikipathways	WP3853	ERK Pathway in Huntington's Disease	partOf	kegg.pathway	WP3853	None	manual	compath
kegg.pathway	hsa04657	IL-17 signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2112	IL17 signaling pathway	manual	compath
kegg.pathway	hsa04931	Insulin resistance - Homo sapiens (human)	partOf	wikipathways	WP1584	Type II diabetes mellitus	manual	compath
kegg.pathway	hsa04931	Insulin resistance - Homo sapiens (human)	partOf	wikipathways	WP3635	Insulin signalling in human adipocytes (diabetic condition)	manual	compath
kegg.pathway	hsa04910	Insulin signaling pathway - Homo sapiens (human)	partOf	wikipathways	WP3634	Insulin signalling in human adipocytes (normal condition)	manual	compath
kegg.pathway	hsa04910	Insulin signaling pathway - Homo sapiens (human)	partOf	wikipathways	WP661	Glucose Homeostasis	manual	compath
kegg.pathway	hsa00785	Lipoic acid metabolism - Homo sapiens (human)	partOf	wikipathways	WP3965	Lipid Metabolism Pathway	manual	compath
kegg.pathway	hsa00310	Lysine degradation - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa04010	MAPK signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP382	MAPK Signaling Pathway	manual	compath
wikipathways	WP400	p38 MAPK Signaling Pathway	partOf	kegg.pathway	WP400	None	manual	compath
wikipathways	WP422	MAPK Cascade	partOf	kegg.pathway	WP422	None	manual	compath
wikipathways	WP3633	Caffeine and Theobromine metabolism	partOf	kegg.pathway	WP3633	None	manual	compath
wikipathways	WP3645	NAD+ biosynthetic pathways	partOf	kegg.pathway	WP3645	None	manual	compath
wikipathways	WP2646	Lidocaine metabolism	partOf	kegg.pathway	WP2646	None	manual	compath
wikipathways	WP1946	Cori Cycle	partOf	kegg.pathway	WP1946	None	manual	compath
wikipathways	WP98	Prostaglandin Synthesis and Regulation	partOf	kegg.pathway	WP98	None	manual	compath
wikipathways	WP465	Tryptophan metabolism	partOf	kegg.pathway	WP465	None	manual	compath
wikipathways	WP357	Fatty Acid Biosynthesis	partOf	kegg.pathway	WP357	None	manual	compath
wikipathways	WP2645	Heroin metabolism	partOf	kegg.pathway	WP2645	None	manual	compath
wikipathways	WP690	Polyol Pathway	partOf	kegg.pathway	WP690	None	manual	compath
wikipathways	WP1423	Ganglio Sphingolipid Metabolism	partOf	kegg.pathway	WP1423	None	manual	compath
wikipathways	WP550	Biogenic Amine Synthesis	partOf	kegg.pathway	WP550	None	manual	compath
wikipathways	WP3580	Methionine De Novo and Salvage Pathway	partOf	kegg.pathway	WP3580	None	manual	compath
wikipathways	WP694	Arylamine metabolism	partOf	kegg.pathway	WP694	None	manual	compath
wikipathways	WP534	Glycolysis and Gluconeogenesis	partOf	kegg.pathway	WP534	None	manual	compath
wikipathways	WP2436	Dopamine metabolism	partOf	kegg.pathway	WP2436	None	manual	compath
wikipathways	WP528	Acetylcholine Synthesis	partOf	kegg.pathway	WP528	None	manual	compath
wikipathways	WP1604	Codeine and Morphine Metabolism	partOf	kegg.pathway	WP1604	None	manual	compath
wikipathways	WP311	Synthesis and Degradation of Ketone Bodies	partOf	kegg.pathway	WP311	None	manual	compath
wikipathways	WP2525	Trans-sulfuration and one carbon metabolism	partOf	kegg.pathway	WP2525	None	manual	compath
wikipathways	WP100	Glutathione metabolism	partOf	kegg.pathway	WP100	None	manual	compath
wikipathways	WP78	TCA Cycle (aka Krebs or citric acid cycle)	partOf	kegg.pathway	WP78	None	manual	compath
wikipathways	WP496	Steroid Biosynthesis	partOf	kegg.pathway	WP496	None	manual	compath
wikipathways	WP167	Eicosanoid Synthesis	partOf	kegg.pathway	WP167	None	manual	compath
wikipathways	WP2485	NAD Biosynthesis II (from tryptophan)	partOf	kegg.pathway	WP2485	None	manual	compath
wikipathways	WP561	Heme Biosynthesis	partOf	kegg.pathway	WP561	None	manual	compath
wikipathways	WP2333	Trans-sulfuration pathway	partOf	kegg.pathway	WP2333	None	manual	compath
wikipathways	WP623	Oxidative phosphorylation	partOf	kegg.pathway	WP623	None	manual	compath
wikipathways	WP4153	Degradation pathway of sphingolipids, including diseases	partOf	kegg.pathway	WP4153	None	manual	compath
wikipathways	WP678	Arachidonate Epoxygenase / Epoxide Hydrolase	partOf	kegg.pathway	WP678	None	manual	compath
wikipathways	WP2878	PPAR Alpha Pathway	partOf	kegg.pathway	WP2878	None	manual	compath
wikipathways	WP1941	Peroxisomal beta-oxidation of tetracosanoyl-CoA	partOf	kegg.pathway	WP1941	None	manual	compath
wikipathways	WP3644	NAD+ metabolism	partOf	kegg.pathway	WP3644	None	manual	compath
wikipathways	WP1422	Sphingolipid pathway	partOf	kegg.pathway	WP1422	None	manual	compath
wikipathways	WP2453	TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	partOf	kegg.pathway	WP2453	None	manual	compath
wikipathways	WP704	Methylation Pathways	partOf	kegg.pathway	WP704	None	manual	compath
wikipathways	WP1600	Nicotine Metabolism	partOf	kegg.pathway	WP1600	None	manual	compath
wikipathways	WP325	Triacylglyceride Synthesis	partOf	kegg.pathway	WP325	None	manual	compath
wikipathways	WP229	Irinotecan Pathway	partOf	kegg.pathway	WP229	None	manual	compath
wikipathways	WP404	Nucleotide Metabolism	partOf	kegg.pathway	WP404	None	manual	compath
wikipathways	WP696	Benzo(a)pyrene metabolism	partOf	kegg.pathway	WP696	None	manual	compath
wikipathways	WP368	Mitochondrial LC-Fatty Acid Beta-Oxidation	partOf	kegg.pathway	WP368	None	manual	compath
wikipathways	WP3925	Amino Acid metabolism	partOf	kegg.pathway	WP3925	None	manual	compath
wikipathways	WP197	Cholesterol Biosynthesis Pathway	partOf	kegg.pathway	WP197	None	manual	compath
wikipathways	WP2889	Oxytocin signaling	partOf	kegg.pathway	WP2889	None	manual	compath
wikipathways	WP206	Fatty Acid Omega Oxidation	partOf	kegg.pathway	WP206	None	manual	compath
wikipathways	WP500	Glycogen Synthesis and Degradation	partOf	kegg.pathway	WP500	None	manual	compath
wikipathways	WP2536	Colchicine Metabolic Pathway	partOf	kegg.pathway	WP2536	None	manual	compath
wikipathways	WP3869	Cannabinoid receptor signaling	partOf	kegg.pathway	WP3869	None	manual	compath
wikipathways	WP3585	Cytosine methylation	partOf	kegg.pathway	WP3585	None	manual	compath
wikipathways	WP4210	Tryptophan catabolism leading to NAD+ production	partOf	kegg.pathway	WP4210	None	manual	compath
wikipathways	WP43	Oxidation by Cytochrome P450	partOf	kegg.pathway	WP43	None	manual	compath
wikipathways	WP405	Eukaryotic Transcription Initiation	partOf	kegg.pathway	WP405	None	manual	compath
wikipathways	WP3933	Kennedy pathway from Sphingolipids	partOf	kegg.pathway	WP3933	None	manual	compath
wikipathways	WP134	Pentose Phosphate Metabolism	partOf	kegg.pathway	WP134	None	manual	compath
wikipathways	WP691	Tamoxifen metabolism	partOf	kegg.pathway	WP691	None	manual	compath
wikipathways	WP716	Vitamin A and Carotenoid Metabolism	partOf	kegg.pathway	WP716	None	manual	compath
wikipathways	WP699	Aflatoxin B1 metabolism	partOf	kegg.pathway	WP699	None	manual	compath
wikipathways	WP2533	Glycerophospholipid Biosynthetic Pathway	partOf	kegg.pathway	WP2533	None	manual	compath
wikipathways	WP3940	One carbon metabolism and related pathways	partOf	kegg.pathway	WP3940	None	manual	compath
wikipathways	WP237	None	partOf	kegg.pathway	WP237	None	manual	compath
wikipathways	WP241	One Carbon Metabolism	partOf	kegg.pathway	WP241	None	manual	compath
wikipathways	WP1531	Vitamin D Metabolism	partOf	kegg.pathway	WP1531	None	manual	compath
wikipathways	WP1424	Globo Sphingolipid Metabolism	partOf	kegg.pathway	WP1424	None	manual	compath
wikipathways	WP4022	Pyrimidine metabolism	partOf	kegg.pathway	WP4022	None	manual	compath
wikipathways	WP106	Alanine and aspartate metabolism	partOf	kegg.pathway	WP106	None	manual	compath
wikipathways	WP3965	Lipid Metabolism Pathway	partOf	kegg.pathway	WP3965	None	manual	compath
wikipathways	WP698	Glucuronidation	partOf	kegg.pathway	WP698	None	manual	compath
wikipathways	WP497	Urea cycle and metabolism of amino groups	partOf	kegg.pathway	WP497	None	manual	compath
wikipathways	WP2826	Cocaine metabolism	partOf	kegg.pathway	WP2826	None	manual	compath
wikipathways	WP4174	Metabolism of Tetrahydrocannabinol (THC)	partOf	kegg.pathway	WP4174	None	manual	compath
wikipathways	WP111	Electron Transport Chain (OXPHOS system in mitochondria)	partOf	kegg.pathway	WP111	None	manual	compath
wikipathways	WP697	Estrogen metabolism	partOf	kegg.pathway	WP697	None	manual	compath
wikipathways	WP2491	Diclofenac Metabolic Pathway	partOf	kegg.pathway	WP2491	None	manual	compath
wikipathways	WP4142	Metabolism of Spingolipids in ER and Golgi apparatus	partOf	kegg.pathway	WP4142	None	manual	compath
wikipathways	WP2816	Felbamate Metabolism	partOf	kegg.pathway	WP2816	None	manual	compath
wikipathways	WP143	Fatty Acid Beta Oxidation	partOf	kegg.pathway	WP143	None	manual	compath
wikipathways	WP176	Folate Metabolism	partOf	kegg.pathway	WP176	None	manual	compath
kegg.pathway	hsa03430	Mismatch repair - Homo sapiens (human)	skos:exactMatch	wikipathways	WP531	DNA Mismatch Repair	manual	compath
kegg.pathway	hsa05032	Morphine addiction - Homo sapiens (human)	partOf	wikipathways	WP2636	Common Pathways Underlying Drug Addiction	manual	compath
wikipathways	WP2513	Nanoparticle triggered regulated necrosis	partOf	kegg.pathway	WP2513	None	manual	compath
wikipathways	WP501	GPCRs, Class C Metabotropic glutamate, pheromone	partOf	kegg.pathway	WP501	None	manual	compath
wikipathways	WP334	GPCRs, Class B Secretin-like	partOf	kegg.pathway	WP334	None	manual	compath
wikipathways	WP247	Small Ligand GPCRs	partOf	kegg.pathway	WP247	None	manual	compath
wikipathways	WP24	Peptide GPCRs	partOf	kegg.pathway	WP24	None	manual	compath
wikipathways	WP58	Monoamine GPCRs	partOf	kegg.pathway	WP58	None	manual	compath
wikipathways	WP455	GPCRs, Class A Rhodopsin-like	partOf	kegg.pathway	WP455	None	manual	compath
wikipathways	WP2485	NAD Biosynthesis II (from tryptophan)	partOf	kegg.pathway	WP2485	None	manual	compath
wikipathways	WP4210	Tryptophan catabolism leading to NAD+ production	partOf	kegg.pathway	WP4210	None	manual	compath
wikipathways	WP3644	NAD+ metabolism	partOf	kegg.pathway	WP3644	None	manual	compath
wikipathways	WP1600	Nicotine Metabolism	partOf	kegg.pathway	WP1600	None	manual	compath
wikipathways	WP3645	NAD+ biosynthetic pathways	partOf	kegg.pathway	WP3645	None	manual	compath
wikipathways	WP4159	GABA receptor Signaling	partOf	kegg.pathway	WP4159	None	manual	compath
wikipathways	WP1602	Nicotine Activity on Dopaminergic Neurons	partOf	kegg.pathway	WP1602	None	manual	compath
kegg.pathway	hsa03450	Non-homologous end-joining - Homo sapiens (human)	skos:exactMatch	wikipathways	WP438	Non-homologous end joining	manual	compath
kegg.pathway	hsa04330	Notch signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP61	Notch Signaling Pathway Netpath	manual	compath
kegg.pathway	hsa04330	Notch signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP3845	Canonical  and Non-canonical Notch signaling	manual	compath
wikipathways	WP186	Homologous recombination	partOf	kegg.pathway	WP186	None	manual	compath
wikipathways	WP531	DNA Mismatch Repair	partOf	kegg.pathway	WP531	None	manual	compath
kegg.pathway	hsa00670	One carbon pool by folate - Homo sapiens (human)	partOf	wikipathways	WP3940	One carbon metabolism and related pathways	manual	compath
kegg.pathway	hsa00670	One carbon pool by folate - Homo sapiens (human)	partOf	wikipathways	WP241	One Carbon Metabolism	manual	compath
kegg.pathway	hsa00670	One carbon pool by folate - Homo sapiens (human)	partOf	wikipathways	WP176	Folate Metabolism	manual	compath
wikipathways	WP2018	RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	partOf	kegg.pathway	WP2018	None	manual	compath
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	skos:exactMatch	wikipathways	WP623	Oxidative phosphorylation	manual	compath
kegg.pathway	hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2889	Oxytocin signaling	manual	compath
kegg.pathway	hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP4172	PI3K-Akt Signaling Pathway	manual	compath
kegg.pathway	hsa03320	PPAR signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP3942	PPAR signaling pathway	manual	compath
wikipathways	WP3679	Cell-type Dependent Selectivity of CCK2R Signaling	partOf	kegg.pathway	WP3679	None	manual	compath
kegg.pathway	hsa05012	Parkinson disease - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2371	Parkinsons Disease Pathway	manual	compath
kegg.pathway	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2272	Pathogenic Escherichia coli infection	manual	compath
wikipathways	WP1971	Integrated Cancer Pathway	partOf	kegg.pathway	WP1971	None	manual	compath
wikipathways	WP2828	Bladder Cancer	partOf	kegg.pathway	WP2828	None	manual	compath
wikipathways	WP2261	Signaling Pathways in Glioblastoma	partOf	kegg.pathway	WP2261	None	manual	compath
kegg.pathway	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	partOf	wikipathways	WP698	Glucuronidation	manual	compath
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP134	Pentose Phosphate Metabolism	manual	compath
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	partOf	wikipathways	WP534	Glycolysis and Gluconeogenesis	manual	compath
wikipathways	WP1941	Peroxisomal beta-oxidation of tetracosanoyl-CoA	partOf	kegg.pathway	WP1941	None	manual	compath
kegg.pathway	hsa00360	Phenylalanine metabolism - Homo sapiens (human)	partOf	wikipathways	WP3925	Amino Acid metabolism	manual	compath
kegg.pathway	hsa00360	Phenylalanine metabolism - Homo sapiens (human)	partOf	wikipathways	WP550	Biogenic Amine Synthesis	manual	compath
kegg.pathway	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	partOf	wikipathways	WP550	Biogenic Amine Synthesis	manual	compath
kegg.pathway	hsa05020	Prion disease - Homo sapiens (human)	skos:exactMatch	wikipathways	WP3995	Prion disease pathway	manual	compath
kegg.pathway	hsa04917	Prolactin signaling pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP2037	Prolactin Signaling Pathway	manual	compath
